Size,Origin,Direction,Spacing
"(512, 512, 176)","(-250.38999938964844, 249.61000061035156, -449.2000427246094)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 2.500000238418579)"
"(512, 512, 263)","(-250.38999938964844, 184.61000061035156, -774.0)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 2.0)"
"(512, 512, 204)","(-250.38999938964844, 249.61000061035156, -300.79986572265625)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 2.4999992847442627)"
"(512, 512, 135)","(-298.92498779296875, -298.94500732421875, -808.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1699999570846558, 1.1699999570846558, 3.0)"
"(512, 512, 165)","(-289.5899963378906, -302.1700134277344, -297.699951171875)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)","(1.1799999475479126, 1.1799999475479126, 2.499999761581421)"
"(512, 512, 151)","(-250.3800048828125, -250.39999389648438, 21.5)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 3.0)"
"(512, 512, 146)","(-286.7699890136719, -286.6700134277344, -280.199951171875)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999999999)","(1.1200000047683716, 1.1200000047683716, 2.499999761581421)"
"(512, 512, 137)","(-284.2550048828125, -284.06500244140625, -257.70001220703125)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1100000143051147, 1.1100000143051147, 2.5)"
"(512, 512, 159)","(-312.2799987792969, -312.3599853515625, -298.2994384765625)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.2200000286102295, 1.2200000286102295, 2.500629186630249)"
"(512, 512, 131)","(-298.92498779296875, -298.94500732421875, -152.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1699999570846558, 1.1699999570846558, 3.0)"
"(512, 512, 109)","(-246.38999938964844, 195.61000061035156, 268.5)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 3.0)"
"(512, 512, 131)","(-298.92498779296875, -298.94500732421875, -182.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1699999570846558, 1.1699999570846558, 3.0)"
"(512, 512, 124)","(-249.89999389648438, 457.1199951171875, -333.0)","(0.9999999999999999, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 1.0)","(0.9800000190734863, 0.9800000190734863, 3.0)"
"(512, 512, 167)","(-325.0050048828125, -325.2349853515625, -335.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.2699999809265137, 1.2699999809265137, 2.5)"
"(512, 512, 151)","(-298.92498779296875, -298.94500732421875, -238.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1699999570846558, 1.1699999570846558, 3.0)"
"(512, 512, 132)","(-298.3450012207031, 507.4750061035156, -351.0)","(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)","(1.1699999570846558, 1.1699999570846558, 3.0)"
